figure,life_exp_max,tfr_scenario,converge_speed,start_converge_t,year,life_exp,fertility,fertility_t,population,births,deaths,years_lived,population_t,births_t,deaths_t,years_lived_t,location,age,life_years
main,100.0,1.0,medium,,2025,74.797,2.218,,8191992061.0,677468194.676,324652312.453,40132938398.319,,,,,World,all,
main,100.0,1.0,medium,,2030,75.437,2.192,,8544807943.222,684327704.979,352456631.104,41834011561.746,,,,,World,all,
main,100.0,1.0,medium,,2035,76.037,2.164,,8876679017.098,690189622.686,383101655.03,43422842614.339,,,,,World,all,
main,100.0,1.0,medium,,2040,76.607,2.136,,9183766984.753,691707858.463,414412859.153,44885367771.536,,,,,World,all,
main,100.0,1.0,medium,,2045,77.151,2.108,,9461061984.063,684907971.711,444728185.528,46201079147.785,,,,,World,all,
main,100.0,1.0,medium,,2050,77.67,2.073,,9701241770.246,671685136.715,473284428.43,47335465810.323,,,,,World,all,
main,100.0,1.0,medium,,2055,78.166,2.036,,9899642478.531,659055470.763,499780770.645,48265634525.73,,,,,World,all,
main,100.0,1.0,medium,,2060,78.646,2.003,,10058917178.649,650284751.742,523237749.982,49007218933.618,,,,,World,all,
main,100.0,1.0,medium,,2065,79.116,1.973,,10185964180.41,642710834.157,543728472.773,49595470894.936,,,,,World,all,
main,100.0,1.0,medium,,2070,79.586,1.947,,10284946541.794,633247006.153,562380669.638,50048222029.996,,,,,World,all,
main,100.0,1.0,medium,,2075,80.056,1.922,,10355812878.309,620614683.326,579189002.132,50364359628.611,,,,,World,all,
main,100.0,1.0,medium,,2080,80.527,1.897,,10397238559.504,605949226.949,592225581.803,50541423295.286,,,,,World,all,
main,100.0,1.0,medium,,2085,80.998,1.876,,10410962204.65,590966411.346,599913202.053,50594096998.846,,,,,World,all,
main,100.0,1.0,medium,,2090,81.478,1.856,,10402015413.943,576565187.505,605403974.639,50540582363.195,,,,,World,all,
main,100.0,1.0,medium,,2095,81.966,1.838,,10373176626.808,563277110.281,611928723.761,50384620068.059,,,,,World,all,
main,100.0,1.0,medium,,2100,82.47,1.822,,10324525013.328,549793720.652,618385759.937,50128909091.551,,,,,World,all,
main,100.0,1.0,medium,,2105,82.949,1.771,,10255932974.044,525015564.268,619118618.946,49780297579.324,,,,,World,all,
main,100.0,1.0,medium,,2110,83.43,1.721,,10161829919.366,499847726.682,616538709.896,49312589756.096,,,,,World,all,
