tfr_scenario,year,age,fertility,life_exp,population,births,births_cum
1,2025,0,,,651124750,,
1,2025,5,,,673164137,,
1,2025,10,,,678823857,,
1,2025,15,,,650546108,,
1,2025,20,,,615553700,,
1,2025,25,,,593486798,,
1,2025,30,,,593113728,,
1,2025,35,,,595637722,,
1,2025,40,,,542482158,,
1,2025,45,,,482953889,,
1,2025,50,,,465337831,,
1,2025,55,,,426862824,,
1,2025,60,,,365749006,,
1,2025,65,,,294032614,,
1,2025,70,,,236103433,,
1,2025,75,,,157658510,,
1,2025,80,,,91988646,,
1,2025,85,,,51134585,,
1,2025,90,,,20274065,,
1,2025,95,,,5200157,,
1,2025,100,,,763543,,
1,2025,all,2.1903403,74.796768,8191992061,677468224,677468194.7
1,2030,0,,,658110538.3,,
1,2030,5,,,645320874.1,,
1,2030,10,,,670593368.4,,
1,2030,15,,,676216169.6,,
1,2030,20,,,646727620,,
1,2030,25,,,611180081.3,,
1,2030,30,,,588786021,,
1,2030,35,,,587645759,,
1,2030,40,,,588761865.8,,
1,2030,45,,,533960405.1,,
1,2030,50,,,471994405.9,,
1,2030,55,,,450152578.3,,
1,2030,60,,,406518536,,
1,2030,65,,,339334421,,
1,2030,70,,,262066790,,
1,2030,75,,,197841967.6,,
1,2030,80,,,119316830.1,,
1,2030,85,,,58300022.03,,
1,2030,90,,,24596622.6,,
1,2030,95,,,6393931.526,,
1,2030,100,,,989135.4878,,
1,2030,all,2.1527452,75.43721,8544807943,684327680,1361795900
1,2035,0,,,666354877.4,,
1,2035,5,,,652565226.6,,
1,2035,10,,,642876294,,
1,2035,15,,,668115542.3,,
1,2035,20,,,672459661.1,,
1,2035,25,,,642334393.4,,
1,2035,30,,,606466577.3,,
1,2035,35,,,583451449.2,,
1,2035,40,,,581007887.2,,
1,2035,45,,,580046266.2,,
1,2035,50,,,522446465.3,,
1,2035,55,,,456952242.1,,
1,2035,60,,,429666277.6,,
1,2035,65,,,378994821,,
1,2035,70,,,304661916.2,,
1,2035,75,,,221331226.9,,
1,2035,80,,,151464140.8,,
1,2035,85,,,77378320.11,,
1,2035,90,,,28865082.31,,
1,2035,95,,,7977806.114,,
1,2035,100,,,1262544.074,,
1,2035,all,2.1152487,76.037392,8876679017,690189632,2051985522
1,2040,0,,,673530988.9,,
1,2040,5,,,661073522.4,,
1,2040,10,,,650211413.4,,
1,2040,15,,,640530191.5,,
1,2040,20,,,664526092.8,,
1,2040,25,,,668116410.2,,
1,2040,30,,,637585362.1,,
1,2040,35,,,601109103.4,,
1,2040,40,,,576977986.3,,
1,2040,45,,,572603910.1,,
1,2040,50,,,568250609.9,,
1,2040,55,,,506636036.1,,
1,2040,60,,,436662977.6,,
1,2040,65,,,401890965.6,,
1,2040,70,,,342491421.7,,
1,2040,75,,,259871326.9,,
1,2040,80,,,171336603.2,,
1,2040,85,,,99680553.2,,
1,2040,90,,,39396108.85,,
1,2040,95,,,9662415.995999999,,
1,2040,100,,,1622984.702,,
1,2040,all,2.0787625,76.60714,9183766985,691707840,2743693381
1,2045,0,,,676332570.6,,
1,2045,5,,,668552665.5,,
1,2045,10,,,658820588.4,,
1,2045,15,,,647952500,,
1,2045,20,,,637112825.8,,
1,2045,25,,,660362829.3,,
1,2045,30,,,663412288.4,,
1,2045,35,,,632184495.4,,
1,2045,40,,,594610897.6,,
1,2045,45,,,568794019.1,,
1,2045,50,,,561244306.9,,
1,2045,55,,,552037378.3,,
1,2045,60,,,485273736.4,,
1,2045,65,,,409134946.3,,
1,2045,70,,,364770722.1,,
1,2045,75,,,294707356.6,,
1,2045,80,,,203858805.8,,
1,2045,85,,,114602879.9,,
1,2045,90,,,51682276.14,,
1,2045,95,,,13583174.42,,
1,2045,100,,,2030721.259,,
1,2045,all,2.0418727,77.151352,9461061984,684907968,3428601353
1,2050,0,,,670744312.6,,
1,2050,5,,,671680882.9,,
1,2050,10,,,666418187.5,,
1,2050,15,,,656652859.9,,
1,2050,20,,,644643859.2,,
1,2050,25,,,633138778.2,,
1,2050,30,,,655849431.9,,
1,2050,35,,,658058204.7,,
1,2050,40,,,625626726.3,,
1,2050,45,,,586401636,,
1,2050,50,,,557743884.3,,
1,2050,55,,,545617228.4,,
1,2050,60,,,530073848.1,,
1,2050,65,,,456159015.2,,
1,2050,70,,,372135267.9,,
1,2050,75,,,315746872.2,,
1,2050,80,,,233929949.5,,
1,2050,85,,,138800773.4,,
1,2050,90,,,60790193.09,,
1,2050,95,,,18160091.04,,
1,2050,100,,,2869767.872,,
1,2050,all,2.00475,77.66983,9701241770,671685120,4100286489
1,2055,0,,,658641722.6,,
1,2055,5,,,666422876.2,,
1,2055,10,,,669676896.6,,
1,2055,15,,,664354264.8,,
1,2055,20,,,653457479.5,,
1,2055,25,,,640782905.5,,
1,2055,30,,,628827192.7,,
1,2055,35,,,650709925.9,,
1,2055,40,,,651540463.3,,
1,2055,45,,,617326644.3,,
1,2055,50,,,575317993.5,,
1,2055,55,,,542532330,,
1,2055,60,,,524419821.2,,
1,2055,65,,,499979368.8,,
1,2055,70,,,416716300.7,,
1,2055,75,,,323035688.2,,
1,2055,80,,,252770089.4,,
1,2055,85,,,161864117.1,,
1,2055,90,,,75297008.11,,
1,2055,95,,,22031561.61,,
1,2055,100,,,3937828.599,,
1,2055,all,1.9708512,78.165932,9899642479,659055488,4759341960
1,2060,0,,,647032858.9,,
1,2060,5,,,654652180.5,,
1,2060,10,,,664556074.1,,
1,2060,15,,,667728405.5,,
1,2060,20,,,661292687.9,,
1,2060,25,,,649717672.6,,
1,2060,30,,,636589623.6,,
1,2060,35,,,623914044.2,,
1,2060,40,,,644444451.2,,
1,2060,45,,,643268366.8,,
1,2060,50,,,606108915.6,,
1,2060,55,,,560058859.6,,
1,2060,60,,,521868266,,
1,2060,65,,,495300354.4,,
1,2060,70,,,458866277.4,,
1,2060,75,,,363888213.6,,
1,2060,80,,,259756930.5,,
1,2060,85,,,177202374.1,,
1,2060,90,,,89683023.62,,
1,2060,95,,,27969136.71,,
1,2060,100,,,5018461.907,,
1,2060,all,1.9423976,78.645798,10058917179,650284736,5409626712
1,2065,0,,,639187569,,
1,2065,5,,,643365896.5,,
1,2065,10,,,652925909.4,,
1,2065,15,,,662729371.6,,
1,2065,20,,,664818178.5,,
1,2065,25,,,657699147,,
1,2065,30,,,645650645.3,,
1,2065,35,,,631808788.5,,
1,2065,40,,,617919848,,
1,2065,45,,,636482987,,
1,2065,50,,,632068538.3,,
1,2065,55,,,590670728.5,,
1,2065,60,,,539300386.1,,
1,2065,65,,,493398508.9,,
1,2065,70,,,455283640.3,,
1,2065,75,,,403254170.9,,
1,2065,80,,,295029609,,
1,2065,85,,,183586134.5,,
1,2065,90,,,100134267.8,,
1,2065,95,,,34142808.99,,
1,2065,100,,,6507046.461,,
1,2065,all,1.917518,79.116463,10185964180,642710848,6052337546
1,2070,0,,,632480584.4,,
1,2070,5,,,635818329,,
1,2070,10,,,641774675.4,,
1,2070,15,,,651222045.2,,
1,2070,20,,,659980215.3,,
1,2070,25,,,661392515.4,,
1,2070,30,,,653784917.2,,
1,2070,35,,,641010368.3,,
1,2070,40,,,625963919.1,,
1,2070,45,,,610302835.9,,
1,2070,50,,,625695174.3,,
1,2070,55,,,616649540.2,,
1,2070,60,,,569629709,,
1,2070,65,,,510592163.5,,
1,2070,70,,,454083875.9,,
1,2070,75,,,400934613.5,,
1,2070,80,,,329864120.6,,
1,2070,85,,,211065885.7,,
1,2070,90,,,105260941.4,,
1,2070,95,,,39246846.68,,
1,2070,100,,,8193265.84,,
1,2070,all,1.8945516,79.585686,10284946542,633246976,6685584552
1,2075,0,,,623829976.2,,
1,2075,5,,,629396722,,
1,2075,10,,,634350922.6,,
1,2075,15,,,640187844.7,,
1,2075,20,,,648637552.7,,
1,2075,25,,,656736826.7,,
1,2075,30,,,657656425.1,,
1,2075,35,,,649315947.2,,
1,2075,40,,,635324197.8,,
1,2075,45,,,618522798.6,,
1,2075,50,,,599980611.2,,
1,2075,55,,,610845709.3,,
1,2075,60,,,595590918.6,,
1,2075,65,,,540394053.7,,
1,2075,70,,,470771708.8,,
1,2075,75,,,400520816.7,,
1,2075,80,,,329115884.5,,
1,2075,85,,,239135393.1,,
1,2075,90,,,123269346.5,,
1,2075,95,,,42369961.81,,
1,2075,100,,,9859260.571,,
1,2075,all,1.8728114,80.056129,10355812878,620614656,7306199235
1,2080,0,,,611953274.6,,
1,2080,5,,,621022281.1,,
1,2080,10,,,628049435.8,,
1,2080,15,,,632872417.6,,
1,2080,20,,,637762963.5,,
1,2080,25,,,645584838.8,,
1,2080,30,,,653198619.9,,
1,2080,35,,,653390528.4,,
1,2080,40,,,643827122.8,,
1,2080,45,,,628069952.6,,
1,2080,50,,,608422477.8,,
1,2080,55,,,585776429.3,,
1,2080,60,,,590543874.6,,
1,2080,65,,,566174809,,
1,2080,70,,,499657844.3,,
1,2080,75,,,416296355.4,,
1,2080,80,,,329669683.3,,
1,2080,85,,,240331210.8,,
1,2080,90,,,142462848.8,,
1,2080,95,,,50956917.33,,
1,2080,100,,,11214673.82,,
1,2080,all,1.8542011,80.526543,10397238560,605949248,7912148462
1,2085,0,,,597983770.1,,
1,2085,5,,,609406060.7,,
1,2085,10,,,619791789.4,,
1,2085,15,,,626676346.9,,
1,2085,20,,,630597189.1,,
1,2085,25,,,634897490.3,,
1,2085,30,,,642256394.9,,
1,2085,35,,,649161513.3,,
1,2085,40,,,648142032.1,,
1,2085,45,,,636811104.6,,
1,2085,50,,,618207032.7,,
1,2085,55,,,594519220.1,,
1,2085,60,,,566351524.3,,
1,2085,65,,,562062958.6,,
1,2085,70,,,524963121.1,,
1,2085,75,,,443628298.1,,
1,2085,80,,,343951059.9,,
1,2085,85,,,242111270.8,,
1,2085,90,,,145203131.2,,
1,2085,95,,,60507035.03,,
1,2085,100,,,13733861.37,,
1,2085,all,1.8384874,80.998451,10410962205,590966400,8503114874
1,2090,0,,,583632912.4,,
1,2090,5,,,595676822,,
1,2090,10,,,608285297.4,,
1,2090,15,,,618521226.3,,
1,2090,20,,,624546902.2,,
1,2090,25,,,627906755.4,,
1,2090,30,,,631773838.1,,
1,2090,35,,,638461036.4,,
1,2090,40,,,644187202,,
1,2090,45,,,641420656.1,,
1,2090,50,,,627253928.7,,
1,2090,55,,,604623907.4,,
1,2090,60,,,575488161.5,,
1,2090,65,,,539007478,,
1,2090,70,,,521979777.1,,
1,2090,75,,,467944376.8,,
1,2090,80,,,368727876,,
1,2090,85,,,254326140.1,,
1,2090,90,,,148051509.8,,
1,2090,95,,,63309233.81,,
1,2090,100,,,16890376.48,,
1,2090,all,1.8233472,81.477531,10402015414,576565184,9079680061
1,2095,0,,,569809739.8,,
1,2095,5,,,581547349.8,,
1,2095,10,,,594658240.8,,
1,2095,15,,,607112751.9,,
1,2095,20,,,616536035.1,,
1,2095,25,,,622028397,,
1,2095,30,,,624975877.5,,
1,2095,35,,,628216325.7,,
1,2095,40,,,633781347.7,,
1,2095,45,,,637809602.9,,
1,2095,50,,,632249162.7,,
1,2095,55,,,614084369.6,,
1,2095,60,,,586010746.1,,
1,2095,65,,,548574866.8,,
1,2095,70,,,500402593.6,,
1,2095,75,,,466296548.7,,
1,2095,80,,,391184978.7,,
1,2095,85,,,275327027.4,,
1,2095,90,,,157545841.9,,
1,2095,95,,,66121868.18,,
1,2095,100,,,18902954.9,,
1,2095,all,1.809727,81.96595,10373176627,563277120,9642957171
1,2100,0,,,557049525.3,,
1,2100,5,,,567929275.6,,
1,2100,10,,,580624181.3,,
1,2100,15,,,593578814.9,,
1,2100,20,,,605268712.2,,
1,2100,25,,,614190069.5,,
1,2100,30,,,619288589.8,,
1,2100,35,,,621644735.9,,
1,2100,40,,,623829326.7,,
1,2100,45,,,627777482.4,,
1,2100,50,,,629094021.2,,
1,2100,55,,,619604187.9,,
1,2100,60,,,596017597.3,,
1,2100,65,,,559561817.8,,
1,2100,70,,,510380891.5,,
1,2100,75,,,446690243.6,,
1,2100,80,,,391078393.7,,
1,2100,85,,,294823637,,
1,2100,90,,,173391353.8,,
1,2100,95,,,71985452.54000001,,
1,2100,100,,,20716703.27,,
1,2100,all,1.7949673,82.429832,10324525013,549131648,10192088792
1,2105,0,,,543341108.3,,
1,2105,5,,,555339604.4,,
1,2105,10,,,567091484.3,,
1,2105,15,,,579625898.6,,
1,2105,20,,,591850947.6,,
1,2105,25,,,603064164.5,,
1,2105,30,,,611616888.3,,
1,2105,35,,,616152033.4,,
1,2105,40,,,617497425.4,,
1,2105,45,,,618133333,,
1,2105,50,,,619472387.6,,
1,2105,55,,,616953212.4,,
1,2105,60,,,602090155.1,,
1,2105,65,,,570078416.7,,
1,2105,70,,,521734989.5,,
1,2105,75,,,456958797.8,,
1,2105,80,,,374400394.9,,
1,2105,85,,,296865273.4,,
1,2105,90,,,189236925.6,,
1,2105,95,,,81980951.27,,
1,2105,100,,,23616117.55,,
1,2105,all,1.7704123,82.89856,10257100510,531425280,10723514076
1,2110,0,,,526078198.4,,
1,2110,5,,,541803021.6,,
1,2110,10,,,554584473.5,,
1,2110,15,,,566173324.1,,
1,2110,20,,,578014230,,
1,2110,25,,,589789933.4,,
1,2110,30,,,600664043.8,,
1,2110,35,,,608686728.8,,
1,2110,40,,,612255472.9,,
1,2110,45,,,612109988.5,,
1,2110,50,,,610258668.7,,
1,2110,55,,,607925774.9,,
1,2110,60,,,600176107.6,,
1,2110,65,,,576948436.9,,
1,2110,70,,,532947720.5,,
1,2110,75,,,468714590.5,,
1,2110,80,,,384779983.1,,
1,2110,85,,,284390855.4,,
1,2110,90,,,193010895.8,,
1,2110,95,,,92069004.01000001,,
1,2110,100,,,27782895.78,,
1,2110,all,1.745527,83.379242,10169164348,512670208,11236184279
1,2115,0,,,507762527,,
1,2115,5,,,524710460.8,,
1,2115,10,,,541130704.8,,
1,2115,15,,,553744177.9,,
1,2115,20,,,564676747.4,,
1,2115,25,,,576096559.2,,
1,2115,30,,,587564604.6,,
1,2115,35,,,597947349.5,,
1,2115,40,,,605055104,,
1,2115,45,,,607190063.9,,
1,2115,50,,,604665325.8,,
1,2115,55,,,599330710.6,,
1,2115,60,,,592010099,,
1,2115,65,,,576097061.9,,
1,2115,70,,,540910790.7,,
1,2115,75,,,480725324.5,,
1,2115,80,,,396656709.9,,
1,2115,85,,,294381967.1,,
1,2115,90,,,185524012.9,,
1,2115,95,,,95768681.97,,
1,2115,100,,,32413328.12,,
1,2115,all,1.7203387,83.875671,10064362312,493498464,11729682746
1,2120,0,,,489019712.4,,
1,2120,5,,,506561165.8,,
1,2120,10,,,524119933.8,,
1,2120,15,,,540368958.7,,
1,2120,20,,,552359733.2,,
1,2120,25,,,562900868,,
1,2120,30,,,574045103.1,,
1,2120,35,,,585062716.8,,
1,2120,40,,,594589394.7,,
1,2120,45,,,600329829.4,,
1,2120,50,,,600193071,,
1,2120,55,,,594353717,,
1,2120,60,,,584307765.7,,
1,2120,65,,,569172496.6,,
1,2120,70,,,541527053.2,,
1,2120,75,,,490004754,,
1,2120,80,,,409172038.5,,
1,2120,85,,,305666999.3,,
1,2120,90,,,194106530.9,,
1,2120,95,,,92701347.97,,
1,2120,100,,,35341974.24,,
1,2120,all,1.6948909,84.389145,9945905164,474441408,12204124161
1,2125,0,,,470378626.8,,
1,2125,5,,,487978648.8,,
1,2125,10,,,506050151.7,,
1,2125,15,,,523436396.6,,
1,2125,20,,,539098402.7,,
1,2125,25,,,550721925.7,,
1,2125,30,,,561020779.2,,
1,2125,35,,,571756265.3,,
1,2125,40,,,581979843.9,,
1,2125,45,,,590215801.7,,
1,2125,50,,,593804626.9,,
1,2125,55,,,590521581,,
1,2125,60,,,580218315.1,,
1,2125,65,,,562753345.4,,
1,2125,70,,,536316924.4,,
1,2125,75,,,492451193.5,,
1,2125,80,,,419572340.4,,
1,2125,85,,,317822111,,
1,2125,90,,,203561790.9,,
1,2125,95,,,98381304.19,,
1,2125,100,,,35593480.17,,
1,2125,all,1.6693001,84.916283,9813633855,455541728,12659665897
1,2130,0,,,451881878.4,,
1,2130,5,,,469490135,,
1,2130,10,,,487544223.1,,
1,2130,15,,,505443251.6,,
1,2130,20,,,522280252.6,,
1,2130,25,,,537600407.9,,
1,2130,30,,,549008341.7,,
1,2130,35,,,558941419.3,,
1,2130,40,,,568945894.8,,
1,2130,45,,,577959635,,
1,2130,50,,,584177421.5,,
1,2130,55,,,584805121.8,,
1,2130,60,,,577305195.6,,
1,2130,65,,,559935507.1,,
1,2130,70,,,531657432,,
1,2130,75,,,489398227,,
1,2130,80,,,423830776.8,,
