year,births,population
-10000,354581.28,4432266
-9000,449359.69,5616996
-8000,579431.38,7242892
-7000,766233.44,9577918
-6000,1056146.5,13201832
-5000,1526061.6,19075772
-4000,2301972.8,28774660
-3000,3558973,44487164
-2000,5806886,72586072
-1000,8833562,110419520
0,18569900,232123760
100,18503384,236904176
200,18347774,240611568
300,16940720,227549856
400,17556266,241539648
500,17970488,253237312
600,18808596,271478688
700,18816692,278185344
800,18868126,285713856
900,20049392,310967712
1000,20357506,323407552
1100,24454724,397923840
1200,26685048,444750784
1300,27383344,456389056
1400,26548846,442480736
1500,30194436,503240576
1600,30945110,515751840
1650,33145950,
1700,32409942,591721920
1710,32978992,613189760
1720,33942600,642718464
1730,34471068,664734976
1740,35407052,695347072
1750,37283228,745664448
1760,38134108,779892288
1770,39154428,818828288
1780,41667612,891049152
1790,42601540,931578176
1800,44038964,984741120
1801,44069632,987628352
1802,44125916,991098752
1803,44183552,994610240
1804,44242552,998163200
1805,44302916,1001758080
1806,44364660,1005395072
1807,44427780,1009074688
1808,44492300,1012797504
1809,44558212,1016563904
1810,44724204,1022630208
1811,44836472,1027487488
1812,45004028,1033631104
1813,45199672,1040443648
1814,45401636,1047427328
1815,45610052,1054586048
1816,45825060,1061924480
1817,46046812,1069447040
1818,46275472,1077158528
1819,46498068,1084757888
1820,46744688,1092947456
1821,46912932,1099331584
1822,47103108,1106253696
1823,47306596,1113514752
1824,47513196,1120876160
1825,47723100,1128343040
1826,47938216,1135961216
1827,48156580,1143684864
1828,48378228,1151515392
1829,48579880,1158898304
1830,48794556,1166619904
1831,48921452,1172266752
1832,49060144,1178216320
1833,49177580,1183675008
1834,49296788,1189194880
1835,49417792,1194776960
1836,49540636,1200422656
1837,49665336,1206132736
1838,49791944,1211908608
1839,49914796,1217612800
1840,50069644,1224118656
1841,50149972,1228821504
1842,50262652,1234333696
1843,50372152,1239786240
1844,50484208,1245319936
1845,50598860,1250936448
1846,50716164,1256637440
1847,50836168,1262424704
1848,50958916,1268300032
1849,51049584,1273394944
1850,51147928,1278698240
1851,51241764,1281044096
1852,51344204,1283605120
1853,51416212,1285405440
1854,51492712,1287317888
1855,51573764,1289344128
1856,51659424,1291485568
1857,51749756,1293743872
1858,51844832,1296120704
1859,51954992,1298874752
1860,52126208,1303155328
1861,52219632,1305490688
1862,52373884,1309347072
1863,52542252,1313556352
1864,52714024,1317850624
1865,52888932,1322223360
1866,53066964,1326674048
1867,53248424,1331210624
1868,53433276,1335831936
1869,53641600,1341040000
1870,53926172,1348154368
1871,54127436,1353185920
1872,54407648,1360191104
1873,54711140,1367778432
1874,55017648,1375441152
1875,55328296,1383207424
1876,55642300,1391057536
1877,55958496,1398962432
1878,56277560,1406939008
1879,56618260,1415456512
1880,57039948,1425998720
1881,57370160,1434253952
1882,57782372,1444559360
1883,58218584,1455464576
1884,58660300,1466507392
1885,59109776,1477744384
1886,59563836,1489095936
1887,60024392,1500609792
1888,60490392,1512259840
1889,60947328,1523683200
1890,61458480,1536461952
1891,61834112,1545852800
1892,62262496,1556562432
1893,62681048,1567026304
1894,63105340,1577633536
1895,63535904,1588397568
1896,63970228,1599255680
1897,64410608,1610265216
1898,64856224,1621405696
1899,65328796,1633219840
1900,65896204,1647405056
1901,66155420,1658785664
1902,66507896,1672564352
1903,66884264,1687012736
1904,67265176,1701647360
1905,67650792,1716473088
1906,68041248,1731494784
1907,68437440,1746736896
1908,68839344,1762200192
1909,69215064,1777067776
1910,69641880,1793323648
1911,69885184,1804920704
1912,70183320,1817990912
1913,70455984,1830461184
1914,70734104,1843131520
1915,71015600,1855949056
1916,71298056,1868851584
1917,71582000,1881853184
1918,71870552,1895037056
1919,72187912,1909044224
1920,72622120,1926217472
1921,72910192,1939587840
1922,73308880,1955971584
1923,73730784,1973057152
1924,74159760,1990416384
1925,74595824,2008052096
1926,75038208,2025945472
1927,75486872,2044097152
1928,75943096,2062543872
1929,76421392,2081683456
1930,77014960,2104067328
1931,77448352,2122176640
1932,77996096,2143517440
1933,78564672,2165540352
1934,79139096,2187836928
1935,79719544,2210413056
1936,80309464,2233367552
1937,80907752,2256672000
1938,81514912,2280342784
1939,82085072,2303096576
1940,82704744,2327357696
1941,83078016,2344788480
1942,83507288,2363887104
1943,83890080,2381758976
1944,84270912,2399659776
1945,84643608,2417413632
1946,85009216,2435048704
1947,85419344,2454045696
1948,85882000,2474648064
1949,86533976,2500821760
1950,92080000,2500000000
1951,92840000,2540000000
1952,97610000,2589999872
1953,97560000,2640000000
1954,100350000,2690000128
1955,101810000,2750000128
1956,101830000,2800000000
1957,105980000,2860000000
1958,104560000,2920000000
1959,101920000,2970000128
1960,102260000,3020000000
1961,100990000,3069999872
1962,112050000,3130000128
1963,119820000,3200000000
1964,117390000,3269999872
1965,117930000,3340000000
1966,117180000,3410000128
1967,116840000,3480000000
1968,121750000,3549999872
1969,122120000,3620000000
1970,124120000,3700000000
1971,123650000,3769999872
1972,123280000,3840000000
1973,123270000,3920000000
1974,122440000,4000000000
1975,120490000,4070000128
1976,120650000,4139999744
1977,120040000,4219999744
1978,121340000,4289999872
1979,124290000,4369999872
1980,126790000,4440000000
1981,129149992,4520000000
1982,132509992,4610000384
1983,130979992,4689999872
1984,133399992,4780000256
1985,135420000,4860000256
1986,138420000,4949999616
1987,140540000,5040000000
1988,139990000,5129999872
1989,141180000,5219999744
1990,142450000,5320000000
1991,137390000,5409999872
1992,135750000,5489999872
1993,134690000,5579999744
1994,134190000,5659999744
1995,133670000,5739999744
1996,133050000,5830000128
1997,132600008,5909999616
1998,132289992,5989999616
1999,132360000,6070000128
2000,134009992,6150000128
2001,133880008,6230000128
2002,134020008,6310000128
2003,134300000,6389999616
2004,135230000,6480000000
2005,135800000,6560000000
2006,136910000,6640000000
2007,138560000,6729999872
2008,140160000,6809999872
2009,141200000,6900000256
2010,141630000,6989999616
2011,142130000,7070000128
2012,144190000,7160000000
2013,143420000,7249999872
2014,143670000,7340000256
2015,142610000,7429999616
2016,143240000,7510000128
2017,142620000,7600000000
2018,139630000,7680000000
2019,137980000,7760000000
2020,135130000,7840000000
2021,133970000,7909999616
2022,133990008,7980000256
2023,134280000,8050000384
