,life_exp_max,tfr_scenario,tfr_scenario_t,start_converge_t,converge_speed_t,location,year,life_exp,fertility,population,births,deaths,years_lived,fertility_t,population_t,births_t,deaths_t,years_lived_t
4608,100.0,1.66,replacement,2100.0,medium,World,2025,74.797,2.218,8191992061.0,677468194.676,324652312.453,40132938398.319,2.218,8191992061.0,677468194.676,324652312.453,40132938398.319
4609,100.0,1.66,replacement,2100.0,medium,World,2030,75.437,2.192,8544807943.222,684327704.979,352456631.104,41834011561.746,2.192,8544807943.222,684327704.979,352456631.104,41834011561.746
4610,100.0,1.66,replacement,2100.0,medium,World,2035,76.037,2.164,8876679017.098,690189622.686,383101655.03,43422842614.339,2.164,8876679017.098,690189622.686,383101655.03,43422842614.339
4611,100.0,1.66,replacement,2100.0,medium,World,2040,76.607,2.136,9183766984.753,691707858.463,414412859.153,44885367771.536,2.136,9183766984.753,691707858.463,414412859.153,44885367771.536
4612,100.0,1.66,replacement,2100.0,medium,World,2045,77.151,2.108,9461061984.063,684907971.711,444728185.528,46201079147.785,2.108,9461061984.063,684907971.711,444728185.528,46201079147.785
4613,100.0,1.66,replacement,2100.0,medium,World,2050,77.67,2.073,9701241770.246,671685136.715,473284428.43,47335465810.323,2.073,9701241770.246,671685136.715,473284428.43,47335465810.323
4614,100.0,1.66,replacement,2100.0,medium,World,2055,78.166,2.036,9899642478.531,659055470.763,499780770.645,48265634525.73,2.036,9899642478.531,659055470.763,499780770.645,48265634525.73
4615,100.0,1.66,replacement,2100.0,medium,World,2060,78.646,2.003,10058917178.649,650284751.742,523237749.982,49007218933.618,2.003,10058917178.649,650284751.742,523237749.982,49007218933.618
4616,100.0,1.66,replacement,2100.0,medium,World,2065,79.116,1.973,10185964180.41,642710834.157,543728472.773,49595470894.936,1.973,10185964180.41,642710834.157,543728472.773,49595470894.936
4617,100.0,1.66,replacement,2100.0,medium,World,2070,79.586,1.947,10284946541.794,633247006.153,562380669.638,50048222029.996,1.947,10284946541.794,633247006.153,562380669.638,50048222029.996
4618,100.0,1.66,replacement,2100.0,medium,World,2075,80.056,1.922,10355812878.309,620614683.326,579189002.132,50364359628.611,1.922,10355812878.309,620614683.326,579189002.132,50364359628.611
4619,100.0,1.66,replacement,2100.0,medium,World,2080,80.527,1.897,10397238559.504,605949226.949,592225581.803,50541423295.286,1.897,10397238559.504,605949226.949,592225581.803,50541423295.286
4620,100.0,1.66,replacement,2100.0,medium,World,2085,80.998,1.876,10410962204.65,590966411.346,599913202.053,50594096998.846,1.876,10410962204.65,590966411.346,599913202.053,50594096998.846
4621,100.0,1.66,replacement,2100.0,medium,World,2090,81.478,1.856,10402015413.943,576565187.505,605403974.639,50540582363.195,1.856,10402015413.943,576565187.505,605403974.639,50540582363.195
4622,100.0,1.66,replacement,2100.0,medium,World,2095,81.966,1.838,10373176626.808,563277110.281,611928723.761,50384620068.059,1.838,10373176626.808,563277110.281,611928723.761,50384620068.059
4623,100.0,1.66,replacement,2100.0,medium,World,2100,82.47,1.822,10324525013.328,549793720.652,618385759.937,50128909091.551,1.822,10324525013.328,549793720.652,618385759.937,50128909091.551
4624,100.0,1.66,replacement,2100.0,medium,World,2105,82.949,1.785,10255932974.044,529105457.481,619125504.914,49780266981.9,1.864,10255932974.044,552589577.967,619355008.305,49779301063.798
4625,100.0,1.66,replacement,2100.0,medium,World,2110,83.433,1.756,10165912926.61,510011711.884,616558899.983,49332915518.371,1.905,10189167543.706,553018288.269,617020300.953,49447247654.2
4626,100.0,1.66,replacement,2100.0,medium,World,2115,83.934,1.73,10059365738.511,491200749.885,610910515.46,48811600280.047,1.942,10125165531.021,551454063.156,611562757.265,49137889697.882
